Object ID,Class Label,Distance (cm)
3,C - N -B - L,16.55110568327445
3,C - N -B - L,16.72741646806876
3,C - N -B - L,16.46619344711947
3,C - N -B - L,16.652932652052304
3,C - N -B - L,16.594921340706538
3,C - N -B - L,16.533518360349298
3,C - N -B - L,16.47851536177691
3,C - N -B - L,16.667382070168433
3,C - N -B - L,16.667946001579256
3,C - N -B - L,16.541082838899566
3,C - N -B - L,16.520392026798522
3,C - N -B - L,16.643550539584574
3,C - N -B - L,16.564379176121157
3,C - N -B - L,16.401041841805696
3,C - N -B - L,16.258076791279194
3,C - N -B - L,16.51710772717534
3,C - N -B - L,16.4980460880197
3,C - N -B - L,16.403074196605402
3,C - N -B - L,16.473413434128666
3,C - N -B - L,16.491484998409558
3,C - N -B - L,16.573269887753415
3,C - N -B - L,16.459441282597588
3,C - N -B - L,16.45576943573913
3,C - N -B - L,16.764542991713157
3,C - N -B - L,16.500804054084078
3,C - N -B - L,16.525121655602103
3,C - N -B - L,16.809058932518052
3,C - N -B - L,16.719732567586526
3,C - N -B - L,16.537140812410843
3,C - N -B - L,16.53065156004109
3,C - N -B - L,16.5160132508052
3,C - N -B - L,16.601523322993145
3,C - N -B - L,16.539694822200822
3,C - N -B - L,16.69899520814636
3,C - N -B - L,16.73549610719953
3,C - N -B - L,16.825851545556663
3,C - N -B - L,16.57473862908422
3,C - N -B - L,16.608028093745624
3,C - N -B - L,16.276938430888126
3,C - N -B - L,16.754119284111727
3,C - N -B - L,16.389892488473365
3,C - N -B - L,16.661067171259745
3,C - N -B - L,16.387103777336073
3,C - N -B - L,16.485177184002453
3,C - N -B - L,16.34551714388133
3,C - N -B - L,16.48454118791659
3,C - N -B - L,16.62300967491412
3,C - N -B - L,16.777140872280373
3,C - N -B - L,16.491538401701437
3,C - N -B - L,16.515337961757496
3,C - N -B - L,16.719005656619096
3,C - N -B - L,16.504605895013103
3,C - N -B - L,16.58383896262221
3,C - N -B - L,16.35830233006966
3,C - N -B - L,16.484453940580796
3,C - N -B - L,16.50939664123865
3,C - N -B - L,16.43750429161259
3,C - N -B - L,16.386313589415526
3,C - N -B - L,16.65354712013005
3,C - N -B - L,16.56950337362298
3,C - N -B - L,16.641985064770633
3,C - N -B - L,16.3495023876783
3,C - N -B - L,16.727241249322798
3,C - N -B - L,16.444061236841865
3,C - N -B - L,16.720561916677465
3,C - N -B - L,16.54818046337425
3,C - N -B - L,16.70411789855962
3,C - N -B - L,16.42147108414707
3,C - N -B - L,16.63624310281003
3,C - N -B - L,16.515932184251508
3,C - N -B - L,16.445831547348305
3,C - N -B - L,16.624192443979087
3,C - N -B - L,16.389412075473878
3,C - N -B - L,16.64417828215772
3,C - N -B - L,16.501200704918865
3,C - N -B - L,16.65971049799769
3,C - N -B - L,16.557031967578382
3,C - N -B - L,16.552862038719795
3,C - N -B - L,16.53231727264762
3,C - N -B - L,16.763822618962465
3,C - N -B - L,16.62192018043477
3,C - N -B - L,16.393777455367935
3,C - N -B - L,16.741309030489383
3,C - N -B - L,16.468369357346436
3,C - N -B - L,16.542539345362236
3,C - N -B - L,16.429392455190648
3,C - N -B - L,16.722237927706136
3,C - N -B - L,16.47838422652083
3,C - N -B - L,16.69925197100784
3,C - N -B - L,16.708955548073995
3,C - N -B - L,16.43229660414756
